id,drug_id,sentence_index,SSI,UMLS1,SNOMED-CT,UMLS2,SNOMED-CT,mild,moderate,severe,persistent,not-persistent,body-site,rating,drug,class,type,entity_type
145,lexapro.114,10,depressed,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
146,lexapro.115,3,depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
147,lexapro.115,3,cry,c0010399/crying/individual behavior,crying (finding) [a3377052/snomedct_us/fn/304534000],,,,,,,,,4,lexapro,ssri,SSI,psychological
148,lexapro.118,2,deep depression,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,deep,,,,4,lexapro,ssri,SSI,psychological
149,lexapro.118,4,down days,c0344315/depressed mood/finding,depressed mood (finding) [a16962685/snomedct_us/fn/366979004],,,,,,,,,4,lexapro,ssri,SSI,psychological
150,lexapro.118,4,moody,c0554980/moody (finding)/finding,moody (finding) [a3567091/snomedct_us/fn/286641001],,,,,,,,,4,lexapro,ssri,SSI,psychological
151,lexapro.119,3,barely functional,c4062591/difficulty in daily functioning/finding,no code,C2732873 / Requires assistance with all daily activities / Finding ,Requires assistance with all daily activities (finding) [A17332696/SNOMEDCT_US/FN/443430002],,,,,,,4,lexapro,ssri,SSI,social impact
152,lexapro.120,3,anxiety,c0003467/anxiety/finding,anxiety (finding) [a3654171/snomedct_us/fn/48694002],,,,,,,,,4,lexapro,ssri,SSI,psychological
153,lexapro.120,3,chilled me out,c0235108/feeling tense/sign or symptom,feeling tense (finding) [a3452850/snomedct_us/fn/263897001],,,,,,,,,4,lexapro,ssri,SSI,psychological
154,lexapro.120,4,upset,c3887804/feeling upset/mental process,Feeling upset (finding) [A3887549/SNOMEDCT_US/FN/224977004],,,,,,,,,4,lexapro,ssri,SSI,physiological
