id,drug_id,sentence_index,ADRs,UMLS1,SNOMED-CT,UMLS2,SNOMED-CT,mild,moderate,severe,persistent,not-persistent,body-site,rating,drug,class,type,entity_type
36,lexapro.5,2,emergency room visit ,C0583237 / Emergency room admission / Health Care Activity,Emergency room admission (procedure) [A3413006/SNOMEDCT_US/FN/50849002],,,,,,,,,1,lexapro,ssri,ADR,social impact
37,lexapro.5,2,tachycardia,C0039231 / Tachycardia / Pathologic Function,Tachycardia (finding) [A6931401/SNOMEDCT_US/FN/3424008],,,,,,,,,1,lexapro,ssri,ADR,physiological
38,lexapro.5,2,violent vertigo,C0522365 / Severe vertigo / Sign or Symptom,Severe vertigo (finding) [A3703315/SNOMEDCT_US/FN/103298005],,,,,violent,,,,1,lexapro,ssri,ADR,physiological
39,lexapro.5,5,three week period of sleep,C0424573 / Always sleepy / Finding,Always sleepy (disorder) [A3560530/SNOMEDCT_US/FN/248262001],,,,,,three week period,,,1,lexapro,ssri,ADR,physiological
40,lexapro.5,6,unable to hold my body vertical,C0560765 / Unable to maintain a position / Finding,Unable to maintain a position (finding) [A3770173/SNOMEDCT_US/FN/282848007],,,,,,,,,1,lexapro,ssri,ADR,psychological
41,lexapro.5,7,slept through life,C0424573 / Always sleepy / Finding,Always sleepy (disorder) [A3560530/SNOMEDCT_US/FN/248262001],,,,,,,,,1,lexapro,ssri,ADR,physiological
42,lexapro.5,7,gained weight,C0043094 / Weight Gain / Finding,Weight gain (finding) [A23454849/SNOMEDCT_US/FN/8943002],,,,,,,,,1,lexapro,ssri,ADR,physiological
43,lexapro.5,10,er,C0583237 / Emergency room admission / Health Care Activity,Emergency room admission (procedure) [A3413006/SNOMEDCT_US/FN/50849002],,,,,,,,,1,lexapro,ssri,ADR,social impact
44,lexapro.5,10,vertigo,C0042571 / Vertigo / Sign or Symptom,Vertigo (finding) [A3780981/SNOMEDCT_US/FN/399153001],,,,,,,,,1,lexapro,ssri,ADR,physiological
45,lexapro.5,10,dizziness,C0012833 / Dizziness / Sign or Symptom,Dizziness (finding) [A3887130/SNOMEDCT_US/FN/404640003],,,,,,,,,1,lexapro,ssri,ADR,physiological
46,lexapro.5,10,tachycardia,C0039231 / Tachycardia / Pathologic Function,Tachycardia (finding) [A6931401/SNOMEDCT_US/FN/3424008],,,,,,,,,1,lexapro,ssri,ADR,physiological
47,lexapro.5,10,dry mouth,C0043352 / Xerostomia / Finding,Xerostomia (disorder) [A27784940/SNOMEDCT_US/FN/87715008],,,,,,,,,1,lexapro,ssri,ADR,physiological
48,lexapro.5,10,nausea,C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
49,lexapro.5,12,vertigo,C0042571 / Vertigo / Sign or Symptom,Vertigo (finding) [A3780981/SNOMEDCT_US/FN/399153001],,,,,,,,,1,lexapro,ssri,ADR,physiological
50,lexapro.5,12,unable to function ,C4062591 / Difficulty in daily functioning / Finding,No code,C2732873 / Requires assistance with all daily activities / Finding ,Requires assistance with all daily activities (finding) [A17332696/SNOMEDCT_US/FN/443430002],,,,,,,1,lexapro,ssri,ADR,social impact
51,lexapro.5,12,lose work,C0425083 / Loss of job / Finding,Loss of job (finding) [A3543156/SNOMEDCT_US/FN/266956001],,,,,,,,,1,lexapro,ssri,ADR,social impact
52,lexapro.5,13,vertigo,C0042571 / Vertigo / Sign or Symptom,Vertigo (finding) [A3780981/SNOMEDCT_US/FN/399153001],,,,,,,,,1,lexapro,ssri,ADR,physiological
53,lexapro.5,13,vestibular neurontitis,C0751908 / Vestibular Neuronitis / Disease or Syndrome,Epidemic vertigo (disorder) [A3434983/SNOMEDCT_US/FN/186738001],,,,,,,,,1,lexapro,ssri,ADR,physiological
54,lexapro.5,14,vertigo,C0042571 / Vertigo / Sign or Symptom,Vertigo (finding) [A3780981/SNOMEDCT_US/FN/399153001],,,,,,,,,1,lexapro,ssri,ADR,physiological
55,lexapro.6,1,muscle spasms,C0037763 / Spasm / Sign or Symptom,Spasm (finding) [A3712892/SNOMEDCT_US/FN/45352006],,,,,,,,,1,lexapro,ssri,ADR,physiological
56,lexapro.6,1,muscle twitching,C0231530 / Muscle twitch / Finding,Muscle twitch (finding) [A3571121/SNOMEDCT_US/FN/60238002],,,,,,,,,1,lexapro,ssri,ADR,physiological
57,lexapro.6,1,muscle soreness,C0231528 / Myalgia / Sign or Symptom,Muscle pain (finding) [A3571045/SNOMEDCT_US/FN/68962001],,,,,,,,,1,lexapro,ssri,ADR,physiological
58,lexapro.6,1,insomnia,C0917801 / Sleeplessness / Sign or Symptom,Insomnia (disorder) [A3517153/SNOMEDCT_US/FN/193462001],,,,,,,,,1,lexapro,ssri,ADR,physiological
59,lexapro.6,1,mental confusion,C0009676 / Confusion / Mental or Behavioral Dysfunction,Confusional state (disorder) [A3366416/SNOMEDCT_US/FN/286933003],,,,,,,,,1,lexapro,ssri,ADR,cognitive
60,lexapro.6,1,flush,C0016382 / Flushing / Sign or Symptom,Face goes red (finding) [A3446948/SNOMEDCT_US/FN/271811009],,,,,,,,,1,lexapro,ssri,ADR,physiological
61,lexapro.6,1,brain zaps,brain shivers,brain shivers,,,,,,,,,1,lexapro,ssri,ADR,physiological
62,lexapro.7,2,"feelings of ""tightness"" in my head",C0033893 / Tension Headache / Disease or Syndrome,Tension-type headache (disorder) [A3750021/SNOMEDCT_US/FN/398057008],,,,,,,,,1,lexapro,ssri,ADR,physiological
63,lexapro.7,2,dry mouth,C0043352 / Xerostomia / Finding,Xerostomia (disorder) [A27784940/SNOMEDCT_US/FN/87715008],,,,,,,,,1,lexapro,ssri,ADR,physiological
64,lexapro.7,2,little bit of jitters,C0549209 / Feeling jittery / Sign or Symptom,No code,C0849963 / Feeling nervous / Sign or Symptom,Feeling nervous (finding) [A11738758/SNOMEDCT_US/FN/424196004],little bit,,,,,,1,lexapro,ssri,ADR,physiological
65,lexapro.7,3,jittery,C0549209 / Feeling jittery / Sign or Symptom,No code,C0849963 / Feeling nervous / Sign or Symptom,Feeling nervous (finding) [A11738758/SNOMEDCT_US/FN/424196004],,,,,,,1,lexapro,ssri,ADR,physiological
66,lexapro.7,3,unable to stop weeping for the past hour,C0541851 / Uncontrollable crying / Finding,No code,"C0438697 / Crying, excessive / Finding","Crying, excessive (finding) [A3377058/SNOMEDCT_US/FN/162213003]",,,,,for the past hour,,1,lexapro,ssri,ADR,psychological
67,lexapro.8,1,extreme weight gain,C0000765 / Excessive body weight gain / Finding,Excessive weight gain (finding) [A3440982/SNOMEDCT_US/FN/224994002],,,,,extreme,,,,1,lexapro,ssri,ADR,physiological
68,lexapro.8,1,gain 30 pounds,C0000765 / Excessive body weight gain / Finding,Excessive weight gain (finding) [A3440982/SNOMEDCT_US/FN/224994002],,,,,30 pounds,,,,1,lexapro,ssri,ADR,physiological
69,lexapro.9,1,excessive perspiration,C0700590 / Increased sweating / Sign or Symptom,Excessive sweating (finding) [A3440966/SNOMEDCT_US/FN/52613005],,,,,excessive,,,,1,lexapro,ssri,ADR,physiological
70,lexapro.9,1,erectile dysfunction,C0242350 / Erectile dysfunction / Disease or Syndrome,Impotence (disorder) [A3506833/SNOMEDCT_US/FN/397803000],,,,,,,,,1,lexapro,ssri,ADR,physiological
71,lexapro.9,2,almost no libido ,C2981158 / Lack of libido / Finding,Lack of libido (finding) [A3531164/SNOMEDCT_US/FN/248096004],,,,almost,,,,,1,lexapro,ssri,ADR,physiological
72,lexapro.10,1,sudden migraines,C0149931 / Migraine Disorders / Disease or Syndrome,Migraine (disorder) [A3563689/SNOMEDCT_US/FN/37796009],,,,,,,,,1,lexapro,ssri,ADR,physiological
73,lexapro.10,2,very big increase in blood pressure,C0497247 / Increase in blood pressure / Finding,Finding of increased blood pressure (finding) [A3457754/SNOMEDCT_US/FN/24184005],,,,,very big,,,,1,lexapro,ssri,ADR,physiological
74,lexapro.11,1,heavy sedation,C0235195 / Sedated state / Finding,Sedated (finding) [A3698125/SNOMEDCT_US/FN/17971005],,,,,heavy,,,,1,lexapro,ssri,ADR,psychological
75,lexapro.11,1,jaw clenching,C0424444 / Clenching teeth / Finding,Clenching teeth (finding) [A3356349/SNOMEDCT_US/FN/110302009],,,,,,,,,1,lexapro,ssri,ADR,physiological
76,lexapro.11,1,inability to organism,C0234022 / Orgasm incapacity / Mental or Behavioral Dysfunction,Orgasm incapacity (finding) [A3603435/SNOMEDCT_US/FN/62607004],,,,,,,,,1,lexapro,ssri,ADR,physiological
77,lexapro.12,1,emotionless,C0456820 / Loss of capacity to feel emotions / Mental or Behavioral Dysfunction,Loss of capacity to feel emotions (finding) [A3543115/SNOMEDCT_US/FN/45991007],,,,,,,,,1,lexapro,ssri,ADR,psychological
78,lexapro.12,1,zombie effect,C0857486 / Felt like a zombie / Finding,No code,C0233484 / Emotionally detached / Finding,Emotionally detached (finding) [A3413164/SNOMEDCT_US/FN/24936000],,,,,,,1,lexapro,ssri,ADR,psychological
79,lexapro.12,2,loss of memory,C0002622 / Amnesia / Mental or Behavioral Dysfunction ,Amnesia (finding) [A3573018/SNOMEDCT_US/FN/48167000],,,,,,,,,1,lexapro,ssri,ADR,cognitive
80,lexapro.12,3,"""zombie"" like",C0857486 / Felt like a zombie / Finding,No code,C0233484 / Emotionally detached / Finding,Emotionally detached (finding) [A3413164/SNOMEDCT_US/FN/24936000],,,,,,,1,lexapro,ssri,ADR,psychological
81,lexapro.12,3,"never be happy about anything, but never really sad",C0233469 / Blunted affect / Mental or Behavioral Dysfunction,Blunted affect (finding) [A3323042/SNOMEDCT_US/FN/6140007],,,,,,,,,1,lexapro,ssri,ADR,psychological
82,lexapro.12,4,felt numb toward all emotion,C0233484 / Emotionally detached / Finding,Emotionally detached (finding) [A3413164/SNOMEDCT_US/FN/24936000],,,,,,,,,1,lexapro,ssri,ADR,psychological
83,lexapro.12,4,memory started lacking,C0233794 / Memory impairment / Mental or Behavioral Dysfunction,Memory impairment (finding) [A3557591/SNOMEDCT_US/FN/386807006],,,,,,,,,1,lexapro,ssri,ADR,cognitive
84,lexapro.12,4, couldnt remember long periods of time or things,"C0701810/Poor long-term memory/Finding 

",Poor long-term memory (finding) [A3638434/SNOMEDCT_US/FN/247588002],,,,,,,,,1,lexapro,ssri,ADR,cognitive
85,lexapro.12,5,difficulty remembering most of that year,C0002622 / Amnesia / Mental or Behavioral Dysfunction ,Amnesia (finding) [A3573018/SNOMEDCT_US/FN/48167000],,,,,,most of that year,,,1,lexapro,ssri,ADR,cognitive
86,lexapro.13,1,jaw jacking,C0006325 / Bruxism / Mental or Behavioral Dysfunction,Grinding teeth (finding) [A3481233/SNOMEDCT_US/FN/90207007],,,,,,,,,1,lexapro,ssri,ADR,physiological
87,lexapro.13,1,clenching teeth,C0424444 / Clenching teeth / Finding,Clenching teeth (finding) [A3356349/SNOMEDCT_US/FN/110302009],,,,,,,,,1,lexapro,ssri,ADR,physiological
88,lexapro.13,1,headaches,C0018681 / Headache / Sign or Symptom,Headache (finding) [A3487586/SNOMEDCT_US/FN/25064002],,,,,,,,,1,lexapro,ssri,ADR,physiological
89,lexapro.13,1,vomitting,C0042963 / Vomiting / Sign or Symptom,Vomiting symptom (finding) [A9417667/SNOMEDCT_US/FN/249497008],,,,,,,,,1,lexapro,ssri,ADR,physiological
90,lexapro.13,1,waking up in the middle of the night,C4075722 / Wakes up during night / Finding,Wakes up during night (finding) [A26594035/SNOMEDCT_US/FN/713822005],,,,,,,,,1,lexapro,ssri,ADR,physiological
91,lexapro.13,1,increase in anxiety,C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,,,,,1,lexapro,ssri,ADR,psychological
92,lexapro.13,1,blurred vision,C0344232 / Blurred vision / Sign or Symptom,Blurring of visual image (finding) [A3323047/SNOMEDCT_US/FN/111516008],,,,,,,,,1,lexapro,ssri,ADR,physiological
93,lexapro.13,3,crazy dreams ,C0860645 / Bizarre dreams / Sign or Symptom,Bizarre dreams (finding) [A9421999/SNOMEDCT_US/FN/419581008],,,,,,,,,1,lexapro,ssri,ADR,psychological
94,lexapro.13,3,crazy visions,"C0233763 / Hallucinations, Visual / Sign or Symptom",Visual hallucinations (finding) [A3782716/SNOMEDCT_US/FN/64269007],,,,,,,,,1,lexapro,ssri,ADR,psychological
95,lexapro.13,3,slight insomnia,C0917801 / Sleeplessness / Sign or Symptom,Insomnia (disorder) [A3517153/SNOMEDCT_US/FN/193462001],,,slight,,,,,,1,lexapro,ssri,ADR,physiological
96,lexapro.13,3,teeth are killing me from grinding,C0006325 / Bruxism / Mental or Behavioral Dysfunction,Grinding teeth (finding) [A3481233/SNOMEDCT_US/FN/90207007],,,,,killing me,,,,1,lexapro,ssri,ADR,physiological
97,lexapro.13,3,headaches,C0018681 / Headache / Sign or Symptom,Headache (finding) [A3487586/SNOMEDCT_US/FN/25064002],,,,,,,,,1,lexapro,ssri,ADR,physiological
98,lexapro.13,4,can hardly even read ,C0586742 / Difficulty reading / Finding,Difficulty reading (finding) [A3395054/SNOMEDCT_US/FN/309253009],,,,,,,,,1,lexapro,ssri,ADR,cognitive
99,lexapro.13,4,feel like i'm in a fog ,C0859330 / Foggy feeling in head / Finding,No code,C0683369 / Clouded consciousness / Sign or Symptom,Clouded consciousness (finding) [A3360409/SNOMEDCT_US/FN/40917007],,,,,,,1,lexapro,ssri,ADR,cognitive
100,lexapro.13,4,feel like i'am stoned,C2938990 / Feeling stoned / Mental or Behavioral Dysfunction,No code,C0278180 / Drugged state / Finding,Drugged state (finding) [A3407018/SNOMEDCT_US/FN/34951003],,,,,,,1,lexapro,ssri,ADR,psychological
101,lexapro.13,5,clumsy ,C0520947 / Clumsiness - motor delay / Disease or Syndrome,Clumsiness - motor delay (disorder) [A21110630/SNOMEDCT_US/FN/307653008],,,,,,,,,1,lexapro,ssri,ADR,cognitive
102,lexapro.13,5,at first gave me tons of energy,C0424117 / Excessive energy / Finding,Excessive energy (finding) [A3440897/SNOMEDCT_US/FN/247779009],,,,,tons of,,at first,,1,lexapro,ssri,ADR,physiological
103,lexapro.13,5,increased anxiety,C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,,,,,1,lexapro,ssri,ADR,psychological
104,lexapro.13,6,head got very heavy,C0581881 / Heavy head / Sign or Symptom,Heavy head (finding) [A3488528/SNOMEDCT_US/FN/162311003],,,,,very,,,,1,lexapro,ssri,ADR,physiological
105,lexapro.13,6,foggy state,C0859330 / Foggy feeling in head / Finding,No code,C0683369 / Clouded consciousness / Sign or Symptom,Clouded consciousness (finding) [A3360409/SNOMEDCT_US/FN/40917007],,,,,,,1,lexapro,ssri,ADR,cognitive
106,lexapro.13,6,like i went downhill,C0344315 / Depressed mood / Finding,Depressed mood (finding) [A16962685/SNOMEDCT_US/FN/366979004],,,,,,,,,1,lexapro,ssri,ADR,psychological
107,lexapro.13,8,increase in anxiety,C0003467 / Anxiety / Finding,Anxiety (finding) [A3654171/SNOMEDCT_US/FN/48694002],,,,,,,,,1,lexapro,ssri,ADR,psychological
108,lexapro.14,1,fatigue,C0015672 / Fatigue / Sign or Symptom,Fatigue (finding) [A3452006/SNOMEDCT_US/FN/84229001],,,,,,,,,1,lexapro,ssri,ADR,physiological
109,lexapro.14,1,dizziness,C0012833 / Dizziness / Sign or Symptom,Dizziness (finding) [A3887130/SNOMEDCT_US/FN/404640003],,,,,,,,,1,lexapro,ssri,ADR,physiological
110,lexapro.14,1,apathy,C0085632 / Apathy / Mental or Behavioral Dysfunction,Indifference (finding) [A3509538/SNOMEDCT_US/FN/20602000],,,,,,,,,1,lexapro,ssri,ADR,psychological
111,lexapro.14,1,muscle jerks,C0027066 / Myoclonus / Sign or Symptom,Myoclonic disorder (disorder) [A3572721/SNOMEDCT_US/FN/127324008],,,,,,,,,1,lexapro,ssri,ADR,physiological
112,lexapro.14,1,jaw clenching,C0424444 / Clenching teeth / Finding,Clenching teeth (finding) [A3356349/SNOMEDCT_US/FN/110302009],,,,,,,,,1,lexapro,ssri,ADR,physiological
113,lexapro.14,1,insomnia,C0917801 / Sleeplessness / Sign or Symptom,Insomnia (disorder) [A3517153/SNOMEDCT_US/FN/193462001],,,,,,,,,1,lexapro,ssri,ADR,physiological
114,lexapro.14,1,interfered with thyroid replacement medicine,C0678798 / Adverse drug interaction / Finding,Adverse drug interaction with drug (disorder) [A19406391/SNOMEDCT_US/FN/448178009],,,,,,,,,1,lexapro,ssri,ADR,physiological
115,lexapro.14,7,more tired,C0557875 / Tired / Sign or Symptom,Tired (finding) [A3756286/SNOMEDCT_US/FN/224960004],,,,,more,,,,1,lexapro,ssri,ADR,physiological
116,lexapro.14,7,cold,C0812387 / Feels cold / Finding,Feels cold (finding) [A3452867/SNOMEDCT_US/FN/64713002],C0234192 / Cold Sensation / Physiologic Function,"Cold sensation, function (observable entity) [A3362089/SNOMEDCT_US/FN/397625009]",,,,,,,1,lexapro,ssri,ADR,physiological
117,lexapro.14,7,weak,C3714552 / Weakness / Sign or Symptom,No code,C0004093 / Asthenia / Sign or Symptom,Asthenia (finding) [A3723754/SNOMEDCT_US/FN/13791008],,,,,,,1,lexapro,ssri,ADR,physiological
118,lexapro.15,1,insomnia,C0917801 / Sleeplessness / Sign or Symptom,Insomnia (disorder) [A3517153/SNOMEDCT_US/FN/193462001],,,,,,,,,1,lexapro,ssri,ADR,physiological
119,lexapro.15,1,tension,C0233494 / Tension / Mental or Behavioral Dysfunction,Tension (finding) [A3750011/SNOMEDCT_US/FN/53489000],,,,,,,,,1,lexapro,ssri,ADR,psychological
120,lexapro.15,1,somnolence,C0013144 / Drowsiness / Finding,Drowsy (finding) [A3406202/SNOMEDCT_US/FN/271782001],,,,,,,,,1,lexapro,ssri,ADR,physiological
121,lexapro.15,1,loss of memory,C0002622 / Amnesia / Mental or Behavioral Dysfunction ,Amnesia (finding) [A3573018/SNOMEDCT_US/FN/48167000],,,,,,,,,1,lexapro,ssri,ADR,cognitive
122,lexapro.15,1,jaw movements,C0006325 / Bruxism / Mental or Behavioral Dysfunction,Grinding teeth (finding) [A3481233/SNOMEDCT_US/FN/90207007],,,,,,,,,1,lexapro,ssri,ADR,physiological
123,lexapro.16,1,got fat,C0043094 / Weight Gain / Finding,Weight gain (finding) [A23454849/SNOMEDCT_US/FN/8943002],,,,,,,,,1,lexapro,ssri,ADR,physiological
124,lexapro.16,1,hated life,C0018616 / Hate / Mental Process,Feeling hatred (finding) [A3452813/SNOMEDCT_US/FN/16962006],,,,,,,,,1,lexapro,ssri,ADR,psychological
125,lexapro.17,1,night sweats,C0028081 / Night sweats / Sign or Symptom,Night sweats (finding) [A3582199/SNOMEDCT_US/FN/42984000],,,,,,,,,1,lexapro,ssri,ADR,physiological
126,lexapro.17,1,major mood swings ,C0085633 / Mood swings / Mental or Behavioral Dysfunction,Mood swings (finding) [A3567084/SNOMEDCT_US/FN/18963009],,,,,major,,,,1,lexapro,ssri,ADR,psychological
127,lexapro.17,1,moment of over excitement combined with rudeness,C0564408 / Manic mood / Finding,Manic mood (finding) [A3889319/SNOMEDCT_US/FN/405273008],,,,,,,moment of,,1,lexapro,ssri,ADR,psychological
128,lexapro.17,2,head felt completely detached from body,C0011551 / Depersonalization / Mental or Behavioral Dysfunction,Depersonalization (finding) [A3388831/SNOMEDCT_US/FN/79499004],,,,,,,,,1,lexapro,ssri,ADR,psychological
129,lexapro.17,2,feeling suicidal,C0424000 / Feeling suicidal (finding) / Finding,Feeling suicidal (finding) [A3452848/SNOMEDCT_US/FN/225457007],,,,,,,,,1,lexapro,ssri,ADR,psychological
130,lexapro.18,1,headaches,C0018681 / Headache / Sign or Symptom,Headache (finding) [A3487586/SNOMEDCT_US/FN/25064002],,,,,,,,,1,lexapro,ssri,ADR,physiological
131,lexapro.18,1,nausea,C0027497 / Nausea / Sign or Symptom,Nausea (finding) [A11740391/SNOMEDCT_US/FN/422587007],,,,,,,,,1,lexapro,ssri,ADR,physiological
132,lexapro.18,1,fatigue,C0015672 / Fatigue / Sign or Symptom,Fatigue (finding) [A3452006/SNOMEDCT_US/FN/84229001],,,,,,,,,1,lexapro,ssri,ADR,physiological
